Gene1,Gene2,Type
g1335,g28,+
g1403,g28,+
g1489,g28,+
g149,g29,+
g407,g29,+
g471,g29,+
g769,g29,+
g1047,g29,+
g1127,g29,+
g1169,g29,+
g1235,g29,+
g1247,g29,+
g1354,g29,+
g60,g30,+
g84,g30,+
g238,g30,+
g281,g30,+
g797,g30,+
g985,g30,+
g988,g30,+
g1264,g30,+
g230,g31,+
g1281,g31,+
g1289,g31,+
g1418,g31,+
g372,g32,+
g1090,g32,+
g1181,g32,+
g1292,g32,+
g1367,g32,+
g1382,g32,+
g1439,g32,+
g6,g33,+
g140,g33,+
g176,g33,+
g182,g33,+
g738,g33,+
g817,g33,+
g1439,g33,+
g1464,g33,+
g1,g34,+
g132,g34,+
g191,g34,+
g255,g34,+
g264,g34,+
g321,g34,+
g474,g34,+
g587,g34,+
g631,g34,+
g638,g34,+
g658,g34,+
g679,g34,+
g872,g34,+
g894,g34,+
g920,g34,+
g928,g34,+
g933,g34,+
g935,g34,+
g963,g34,+
g999,g34,+
g1029,g34,+
g1047,g34,+
g1161,g34,+
g1213,g34,+
g1239,g34,+
g1267,g34,+
g1309,g34,+
g1338,g34,+
g1342,g34,+
g1350,g34,+
g1385,g34,+
g1386,g34,+
g1393,g34,+
g1414,g34,+
g1420,g34,+
g1433,g34,+
g1472,g34,+
g1491,g34,+
g137,g35,+
g190,g35,+
g248,g35,+
g673,g35,+
g911,g35,+
g1175,g35,+
g27,g36,+
g615,g36,+
g681,g36,+
g815,g36,+
g950,g36,+
g1088,g36,+
g55,g37,+
g220,g37,+
g475,g37,+
g1497,g37,+
g44,g38,+
g133,g38,+
g1116,g38,+
g1161,g38,+
g471,g39,+
g501,g39,+
g810,g39,+
g905,g39,+
g972,g39,+
g996,g39,+
g1086,g39,+
g475,g40,+
g603,g40,+
g848,g40,+
g1019,g40,+
g1217,g40,+
g1300,g40,+
g1461,g40,+
g1493,g40,+
g501,g41,+
g584,g41,+
g793,g41,+
g937,g41,+
g1411,g41,+
g184,g42,+
g252,g42,+
g644,g42,+
g1128,g42,+
g1468,g42,+
g17,g43,+
g58,g43,+
g147,g43,+
g184,g43,+
g218,g43,+
g344,g43,+
g422,g43,+
g433,g43,+
g551,g43,+
g631,g43,+
g650,g43,+
g669,g43,+
g698,g43,+
g699,g43,+
g803,g43,+
g909,g43,+
g947,g43,+
g967,g43,+
g1009,g43,+
g1016,g43,+
g1075,g43,+
g1090,g43,+
g1114,g43,+
g1127,g43,+
g1236,g43,+
g1285,g43,+
g1339,g43,+
g1350,g43,+
g1411,g43,+
g1475,g43,+
g1480,g43,+
g35,g44,+
g840,g44,+
g891,g44,+
g926,g44,+
g1103,g44,+
g1373,g44,+
g1436,g44,+
g4,g45,+
g296,g45,+
g459,g45,+
g1113,g45,+
g1141,g45,+
g1188,g45,+
g1226,g45,+
g1490,g45,+
g1492,g45,+
g136,g46,+
g160,g46,+
g259,g46,+
g345,g46,+
g376,g46,+
g415,g46,+
g536,g46,+
g623,g46,+
g702,g46,+
g835,g46,+
g877,g46,+
g1133,g46,+
g1141,g46,+
g1173,g46,+
g1229,g46,+
g1282,g46,+
g1401,g46,+
g1410,g46,+
g108,g47,+
g590,g47,+
g1357,g47,+
g1405,g47,+
g29,g48,+
g1080,g49,+
g87,g50,+
g234,g50,+
g595,g50,+
g710,g50,+
g716,g50,+
g1145,g50,+
g88,g51,+
g195,g51,+
g201,g51,+
g249,g51,+
g284,g51,+
g654,g51,+
g728,g51,+
g749,g51,+
g795,g51,+
g999,g51,+
g1009,g51,+
g1125,g51,+
g1255,g51,+
g1386,g51,+
g246,g52,+
g347,g52,+
g482,g52,+
g729,g52,+
g1044,g52,+
g1170,g52,+
g1258,g52,+
g1381,g52,+
g1388,g52,+
g14,g53,+
g39,g53,+
g52,g53,+
g94,g53,+
g97,g53,+
g124,g53,+
g146,g53,+
g163,g53,+
g224,g53,+
g291,g53,+
g392,g53,+
g519,g53,+
g577,g53,+
g589,g53,+
g691,g53,+
g711,g53,+
g743,g53,+
g752,g53,+
g831,g53,+
g852,g53,+
g859,g53,+
g866,g53,+
g869,g53,+
g894,g53,+
g899,g53,+
g923,g53,+
g940,g53,+
g944,g53,+
g948,g53,+
g983,g53,+
g984,g53,+
g987,g53,+
g995,g53,+
g1002,g53,+
g1016,g53,+
g1022,g53,+
g1027,g53,+
g1073,g53,+
g1089,g53,+
g1130,g53,+
g1167,g53,+
g1176,g53,+
g1271,g53,+
g1307,g53,+
g1358,g53,+
g1418,g53,+
g1424,g53,+
g1445,g53,+
g1453,g53,+
g1468,g53,+
g1500,g53,+
g347,g54,+
g858,g54,+
g910,g54,+
g1018,g54,+
g1205,g54,+
g1375,g54,+
g3,g55,+
g664,g55,+
g696,g55,+
g772,g55,+
g1137,g55,+
g1459,g55,+
g129,g56,+
g518,g56,+
g904,g56,+
g922,g57,+
g936,g57,+
g1200,g57,+
g165,g58,+
g617,g58,+
g667,g58,+
g675,g58,+
g1254,g58,+
g1217,g59,+
g50,g60,+
g1355,g60,+
g1032,g61,+
g1353,g61,+
g36,g62,+
g252,g62,+
g747,g62,+
g804,g62,+
g817,g62,+
g1065,g62,+
g97,g63,+
g301,g63,+
g353,g63,+
g551,g63,+
g793,g63,+
g835,g63,+
g912,g63,+
g1070,g63,+
g1429,g63,+
g76,g64,+
g134,g64,+
g23,g65,+
g112,g65,+
g314,g65,+
g340,g65,+
g405,g65,+
g440,g65,+
g487,g65,+
g514,g65,+
g517,g65,+
g527,g65,+
g598,g65,+
g714,g65,+
g928,g65,+
g960,g65,+
g1013,g65,+
g1098,g65,+
g1149,g65,+
g1151,g65,+
g1268,g65,+
g1316,g65,+
g626,g66,+
g912,g66,+
g984,g66,+
g1151,g66,+
g220,g67,+
g1269,g67,+
g1487,g67,+
g1492,g67,+
g50,g68,+
g89,g68,+
g119,g68,+
g171,g68,+
g245,g68,+
g263,g68,+
g438,g68,+
g489,g68,+
g794,g68,+
g839,g68,+
g942,g68,+
g944,g68,+
g971,g68,+
g1119,g68,+
g1156,g68,+
g1180,g68,+
g1315,g68,+
g1350,g68,+
g1483,g68,+
g1491,g68,+
g1495,g68,+
g292,g69,+
g966,g69,+
g671,g70,+
g1270,g70,+
g1350,g70,+
g1489,g70,+
g291,g71,+
g515,g71,+
g615,g71,+
g1398,g71,+
g1457,g71,+
g4,g72,+
g95,g72,+
g574,g72,+
g579,g72,+
g705,g72,+
g942,g72,+
g1085,g72,+
g1087,g72,+
g1257,g72,+
g1492,g72,+
g234,g73,+
g295,g73,+
g500,g73,+
g652,g73,+
g720,g73,+
g1472,g73,+
g1029,g74,+
g1476,g74,+
g77,g75,+
g88,g75,+
g161,g75,+
g179,g75,+
g231,g75,+
g234,g75,+
g243,g75,+
g246,g75,+
g270,g75,+
g312,g75,+
g351,g75,+
g370,g75,+
g421,g75,+
g424,g75,+
g432,g75,+
g442,g75,+
g469,g75,+
g471,g75,+
g487,g75,+
g499,g75,+
g530,g75,+
g535,g75,+
g666,g75,+
g682,g75,+
g714,g75,+
g718,g75,+
g729,g75,+
g788,g75,+
g809,g75,+
g818,g75,+
g835,g75,+
g876,g75,+
g885,g75,+
g899,g75,+
g918,g75,+
g923,g75,+
g946,g75,+
g958,g75,+
g1027,g75,+
g1070,g75,+
g1188,g75,+
g1214,g75,+
g1215,g75,+
g1222,g75,+
g1280,g75,+
g1293,g75,+
g1304,g75,+
g1308,g75,+
g1319,g75,+
g1356,g75,+
g1378,g75,+
g1443,g75,+
g1476,g75,+
g1481,g75,+
g4,g76,+
g89,g76,+
g375,g76,+
g450,g76,+
g924,g76,+
g1164,g76,+
g1179,g76,+
g1430,g76,+
g1492,g76,+
g30,g77,+
g45,g77,+
g368,g77,+
g433,g77,+
g510,g77,+
g641,g77,+
g845,g77,+
g846,g77,+
g908,g77,+
g1023,g77,+
g1058,g77,+
g1113,g77,+
g1312,g77,+
g1380,g77,+
g1408,g77,+
g1474,g77,+
g421,g78,+
g551,g78,+
g467,g79,+
g562,g79,+
g572,g79,+
g655,g79,+
g662,g79,+
g687,g79,+
g740,g79,+
g805,g79,+
g842,g79,+
g847,g79,+
g897,g79,+
g958,g79,+
g971,g79,+
g1036,g79,+
g1198,g79,+
g1202,g79,+
g1473,g79,+
g1480,g79,+
g238,g80,+
g617,g80,+
g834,g80,+
g876,g80,+
g991,g80,+
g1174,g80,+
g1419,g80,+
g75,g81,+
g266,g81,+
g297,g81,+
g431,g81,+
g528,g81,+
g619,g81,+
g849,g81,+
g1134,g81,+
g1469,g81,+
g153,g82,+
g217,g82,+
g234,g82,+
g387,g82,+
g393,g82,+
g400,g82,+
g433,g82,+
g477,g82,+
g480,g82,+
g493,g82,+
g496,g82,+
g522,g82,+
g644,g82,+
g676,g82,+
g717,g82,+
g733,g82,+
g756,g82,+
g759,g82,+
g839,g82,+
g857,g82,+
g874,g82,+
g883,g82,+
g909,g82,+
g939,g82,+
g984,g82,+
g988,g82,+
g992,g82,+
g1023,g82,+
g1136,g82,+
g1183,g82,+
g1208,g82,+
g1215,g82,+
g1285,g82,+
g1369,g82,+
g1390,g82,+
g1431,g82,+
g1491,g82,+
g3,g83,+
g107,g83,+
g248,g83,+
g276,g83,+
g444,g83,+
g521,g83,+
g657,g83,+
g681,g83,+
g740,g83,+
g750,g83,+
g752,g83,+
g773,g83,+
g914,g83,+
g994,g83,+
g1072,g83,+
g1111,g83,+
g1121,g83,+
g1133,g83,+
g1146,g83,+
g1206,g83,+
g1319,g83,+
g1331,g83,+
g1396,g83,+
g1405,g83,+
g1430,g83,+
g1460,g83,+
g1470,g83,+
g396,g84,+
g674,g84,+
g766,g84,+
g1071,g84,+
g1091,g84,+
g1210,g84,+
g1328,g84,+
g1354,g84,+
g1435,g84,+
g86,g85,+
g430,g85,+
g875,g85,+
g1468,g85,+
g382,g86,+
g450,g86,+
g516,g86,+
g635,g86,+
g1173,g86,+
g1214,g86,+
g1451,g86,+
g320,g87,+
g610,g87,+
g618,g87,+
g754,g87,+
g840,g87,+
g819,g88,+
g1123,g88,+
g1459,g88,+
g69,g89,+
g93,g89,+
g173,g89,+
g407,g89,+
g607,g89,+
g693,g89,+
g699,g89,+
g933,g89,+
g988,g89,+
g1093,g89,+
g1307,g89,+
g519,g90,+
g824,g90,+
g1077,g90,+
g1160,g90,+
g1341,g90,+
g3,g91,+
g16,g91,+
g83,g91,+
g114,g91,+
g151,g91,+
g168,g91,+
g188,g91,+
g201,g91,+
g216,g91,+
g224,g91,+
g301,g91,+
g316,g91,+
g331,g91,+
g336,g91,+
g337,g91,+
g339,g91,+
g412,g91,+
g455,g91,+
g468,g91,+
g497,g91,+
g529,g91,+
g549,g91,+
g553,g91,+
g566,g91,+
g592,g91,+
g605,g91,+
g616,g91,+
g617,g91,+
g621,g91,+
g651,g91,+
g656,g91,+
g682,g91,+
g703,g91,+
g717,g91,+
g765,g91,+
g774,g91,+
g779,g91,+
g784,g91,+
g791,g91,+
g821,g91,+
g847,g91,+
g868,g91,+
g898,g91,+
g927,g91,+
g935,g91,+
g986,g91,+
g987,g91,+
g991,g91,+
g1012,g91,+
g1037,g91,+
g1055,g91,+
g1056,g91,+
g1088,g91,+
g1100,g91,+
g1126,g91,+
g1145,g91,+
g1189,g91,+
g1194,g91,+
g1220,g91,+
g1236,g91,+
g1273,g91,+
g1286,g91,+
g1320,g91,+
g1321,g91,+
g1351,g91,+
g1362,g91,+
g1367,g91,+
g1370,g91,+
g1378,g91,+
g1394,g91,+
g1398,g91,+
g1428,g91,+
g1436,g91,+
g1460,g91,+
g1479,g91,+
g1495,g91,+
g127,g92,+
g143,g92,+
g418,g92,+
g426,g92,+
g638,g92,+
g826,g92,+
g884,g92,+
g1062,g92,+
g1087,g92,+
g1146,g92,+
g1271,g92,+
g1339,g92,+
g1410,g92,+
g107,g93,+
g1075,g93,+
g1374,g93,+
g1415,g93,+
g1435,g93,+
g12,g94,+
g263,g94,+
g386,g94,+
g410,g94,+
g440,g94,+
g441,g94,+
g582,g94,+
g746,g94,+
g828,g94,+
g1224,g94,+
g1321,g94,+
g1487,g94,+
g11,g95,+
g249,g95,+
g300,g95,+
g308,g95,+
g352,g95,+
g358,g95,+
g361,g95,+
g462,g95,+
g493,g95,+
g500,g95,+
g531,g95,+
g610,g95,+
g728,g95,+
g768,g95,+
g811,g95,+
g911,g95,+
g952,g95,+
g971,g95,+
g976,g95,+
g989,g95,+
g1000,g95,+
g1088,g95,+
g1136,g95,+
g1139,g95,+
g1142,g95,+
g1163,g95,+
g1212,g95,+
g1228,g95,+
g1263,g95,+
g1297,g95,+
g1327,g95,+
g1362,g95,+
g1408,g95,+
g1423,g95,+
g1429,g95,+
g1488,g95,+
g111,g96,+
g602,g96,+
g653,g96,+
g1014,g96,+
g116,g97,+
g221,g97,+
g225,g97,+
g226,g97,+
g261,g97,+
g308,g97,+
g384,g97,+
g506,g97,+
g548,g97,+
g573,g97,+
g578,g97,+
g717,g97,+
g720,g97,+
g735,g97,+
g810,g97,+
g817,g97,+
g931,g97,+
g1040,g97,+
g1076,g97,+
g1096,g97,+
g1100,g97,+
g1188,g97,+
g1244,g97,+
g1346,g97,+
g85,g98,+
g102,g98,+
g164,g98,+
g1200,g98,+
g1368,g98,+
g199,g99,+
g413,g99,+
g433,g99,+
g995,g99,+
g1097,g99,+
g1208,g99,+
g94,g100,+
g119,g100,+
g186,g100,+
g207,g100,+
g211,g100,+
g214,g100,+
g232,g100,+
g235,g100,+
g236,g100,+
g267,g100,+
g297,g100,+
g305,g100,+
g326,g100,+
g333,g100,+
g374,g100,+
g402,g100,+
g416,g100,+
g436,g100,+
g443,g100,+
g456,g100,+
g466,g100,+
g469,g100,+
g483,g100,+
g499,g100,+
g503,g100,+
g545,g100,+
g557,g100,+
g581,g100,+
g584,g100,+
g591,g100,+
g598,g100,+
g600,g100,+
g617,g100,+
g627,g100,+
g633,g100,+
g639,g100,+
g658,g100,+
g663,g100,+
g678,g100,+
g689,g100,+
g703,g100,+
g706,g100,+
g715,g100,+
g749,g100,+
g772,g100,+
g776,g100,+
g778,g100,+
g787,g100,+
g802,g100,+
g813,g100,+
g815,g100,+
g831,g100,+
g845,g100,+
g875,g100,+
g888,g100,+
g896,g100,+
g907,g100,+
g913,g100,+
g977,g100,+
g982,g100,+
g1007,g100,+
g1009,g100,+
g1026,g100,+
g1041,g100,+
g1044,g100,+
g1055,g100,+
g1062,g100,+
g1074,g100,+
g1085,g100,+
g1094,g100,+
g1106,g100,+
g1128,g100,+
g1139,g100,+
g1140,g100,+
g1150,g100,+
g1153,g100,+
g1154,g100,+
g1155,g100,+
g1167,g100,+
g1174,g100,+
g1182,g100,+
g1190,g100,+
g1204,g100,+
g1205,g100,+
g1221,g100,+
g1275,g100,+
g1277,g100,+
g1322,g100,+
g1326,g100,+
g1337,g100,+
g1375,g100,+
g1402,g100,+
g1407,g100,+
g1414,g100,+
g1431,g100,+
g1432,g100,+
g1447,g100,+
g1458,g100,+
g1469,g100,+
g1488,g100,+
g1500,g100,+
g40,g101,+
g1394,g101,+
g1480,g101,+
g44,g102,+
g206,g102,+
g432,g102,+
g563,g102,+
g760,g102,+
g935,g102,+
g1168,g102,+
g1295,g102,+
g92,g103,+
g579,g103,+
g895,g103,+
g918,g103,+
g987,g103,+
g1066,g103,+
g1085,g103,+
g1219,g103,+
g1486,g103,+
g659,g104,+
g740,g104,+
g1296,g104,+
g1391,g104,+
g1500,g104,+
g163,g105,+
g640,g105,+
g1371,g105,+
g50,g106,+
g799,g106,+
g948,g106,+
g1158,g106,+
g1352,g106,+
g52,g107,+
g66,g107,+
g117,g107,+
g222,g107,+
g316,g107,+
g355,g107,+
g356,g107,+
g480,g107,+
g482,g107,+
g502,g107,+
g525,g107,+
g605,g107,+
g610,g107,+
g896,g107,+
g964,g107,+
g1021,g107,+
g1061,g107,+
g1265,g107,+
g1347,g107,+
g432,g108,+
g1482,g108,+
g413,g109,+
g487,g109,+
g787,g109,+
g219,g110,+
g1005,g110,+
g1133,g110,+
g984,g111,+
g1123,g111,+
g1443,g111,+
g7,g112,+
g92,g112,+
g106,g112,+
g293,g112,+
g313,g112,+
g778,g112,+
g846,g112,+
g881,g112,+
g897,g112,+
g950,g112,+
g983,g112,+
g1173,g112,+
g1404,g112,+
g1438,g112,+
g1473,g112,+
g83,g113,+
g192,g113,+
g285,g113,+
g479,g113,+
g545,g113,+
g628,g113,+
g698,g113,+
g799,g113,+
g823,g113,+
g830,g113,+
g899,g113,+
g959,g113,+
g1046,g113,+
g1203,g113,+
g1359,g113,+
g1365,g113,+
g1373,g113,+
g1385,g113,+
g1413,g113,+
g1448,g113,+
g1463,g113,+
g1478,g113,+
g1481,g113,+
g1500,g113,+
g921,g114,+
g1292,g114,+
g1381,g114,+
g1456,g114,+
g257,g115,+
g665,g115,+
g729,g115,+
g1045,g115,+
g1098,g115,+
g1110,g115,+
g1149,g115,+
g1158,g115,+
g1372,g115,+
g1421,g115,+
g38,g116,+
g200,g116,+
g711,g116,+
g1316,g116,+
g1343,g116,+
g822,g117,+
g1053,g117,+
g1380,g117,+
g337,g118,+
g357,g118,+
g839,g118,+
g1109,g118,+
g1477,g118,+
g1488,g118,+
g107,g120,+
g117,g120,+
g144,g120,+
g815,g120,+
g909,g120,+
g1231,g120,+
g1355,g120,+
g1357,g120,+
g1476,g120,+
g26,g121,+
g130,g121,+
g166,g121,+
g190,g121,+
g229,g121,+
g709,g121,+
g902,g121,+
g1259,g121,+
g1275,g121,+
g1328,g121,+
g1446,g121,+
g64,g122,+
g791,g122,+
g5,g123,+
g7,g123,+
g9,g123,+
g16,g123,+
g27,g123,+
g66,g123,+
g77,g123,+
g80,g123,+
g92,g123,+
g100,g123,+
g105,g123,+
g113,g123,+
g116,g123,+
g159,g123,+
g160,g123,+
g161,g123,+
g163,g123,+
g167,g123,+
g169,g123,+
g177,g123,+
g178,g123,+
g182,g123,+
g191,g123,+
g197,g123,+
g198,g123,+
g204,g123,+
g214,g123,+
g216,g123,+
g230,g123,+
g239,g123,+
g244,g123,+
g253,g123,+
g260,g123,+
g268,g123,+
g274,g123,+
g285,g123,+
g291,g123,+
g303,g123,+
g307,g123,+
g311,g123,+
g313,g123,+
g316,g123,+
g326,g123,+
g329,g123,+
g334,g123,+
g336,g123,+
g339,g123,+
g344,g123,+
g361,g123,+
g362,g123,+
g366,g123,+
g368,g123,+
g371,g123,+
g383,g123,+
g391,g123,+
g410,g123,+
g417,g123,+
g420,g123,+
g422,g123,+
g424,g123,+
g427,g123,+
g432,g123,+
g441,g123,+
g462,g123,+
g470,g123,+
g471,g123,+
g486,g123,+
g494,g123,+
g497,g123,+
g506,g123,+
g515,g123,+
g520,g123,+
g521,g123,+
g526,g123,+
g528,g123,+
g532,g123,+
g549,g123,+
g553,g123,+
g557,g123,+
g559,g123,+
g563,g123,+
g571,g123,+
g572,g123,+
g573,g123,+
g574,g123,+
g582,g123,+
g587,g123,+
g590,g123,+
g611,g123,+
g621,g123,+
g622,g123,+
g623,g123,+
g625,g123,+
g628,g123,+
g635,g123,+
g638,g123,+
g651,g123,+
g653,g123,+
g661,g123,+
g666,g123,+
g672,g123,+
g683,g123,+
g686,g123,+
g709,g123,+
g712,g123,+
g713,g123,+
g741,g123,+
g745,g123,+
g761,g123,+
g764,g123,+
g765,g123,+
g766,g123,+
g767,g123,+
g770,g123,+
g771,g123,+
g781,g123,+
g786,g123,+
g792,g123,+
g801,g123,+
g803,g123,+
g804,g123,+
g807,g123,+
g815,g123,+
g822,g123,+
g827,g123,+
g829,g123,+
g834,g123,+
g837,g123,+
g847,g123,+
g848,g123,+
g855,g123,+
g870,g123,+
g880,g123,+
g885,g123,+
g894,g123,+
g896,g123,+
g904,g123,+
g908,g123,+
g910,g123,+
g911,g123,+
g914,g123,+
g920,g123,+
g923,g123,+
g924,g123,+
g931,g123,+
g966,g123,+
g976,g123,+
g978,g123,+
g992,g123,+
g995,g123,+
g1000,g123,+
g1004,g123,+
g1008,g123,+
g1016,g123,+
g1023,g123,+
g1025,g123,+
g1027,g123,+
g1050,g123,+
g1071,g123,+
g1081,g123,+
g1091,g123,+
g1092,g123,+
g1093,g123,+
g1097,g123,+
g1098,g123,+
g1105,g123,+
g1108,g123,+
g1113,g123,+
g1115,g123,+
g1144,g123,+
g1151,g123,+
g1153,g123,+
g1155,g123,+
g1159,g123,+
g1166,g123,+
g1170,g123,+
g1176,g123,+
g1178,g123,+
g1179,g123,+
g1189,g123,+
g1197,g123,+
g1201,g123,+
g1204,g123,+
g1208,g123,+
g1212,g123,+
g1228,g123,+
g1229,g123,+
g1236,g123,+
g1246,g123,+
g1256,g123,+
g1265,g123,+
g1270,g123,+
g1292,g123,+
g1304,g123,+
g1305,g123,+
g1306,g123,+
g1309,g123,+
g1310,g123,+
g1315,g123,+
g1318,g123,+
g1322,g123,+
g1328,g123,+
g1330,g123,+
g1332,g123,+
g1335,g123,+
g1339,g123,+
g1341,g123,+
g1351,g123,+
g1355,g123,+
g1364,g123,+
g1369,g123,+
g1370,g123,+
g1386,g123,+
g1391,g123,+
g1393,g123,+
g1395,g123,+
