Gene1,Gene2,Type
g3,g13,+
g30,g13,+
g32,g13,+
g37,g13,+
g39,g13,+
g96,g13,-
g7,g14,+
g30,g14,+
g31,g14,+
g36,g14,+
g40,g14,+
g44,g14,+
g53,g14,+
g75,g14,+
g81,g14,+
g83,g14,+
g85,g14,+
g93,g14,+
g94,g14,+
g100,g14,+
g17,g15,+
g22,g15,-
g49,g15,+
g58,g15,+
g10,g16,+
g17,g16,-
g31,g16,+
g35,g16,+
g44,g16,+
g61,g16,+
g68,g16,-
g78,g16,+
g100,g16,+
g9,g17,+
g25,g17,+
g26,g17,+
g31,g17,+
g43,g17,-
g61,g17,+
g62,g17,+
g71,g17,+
g72,g17,+
g74,g17,+
g81,g17,+
g5,g18,+
g6,g18,+
g20,g18,+
g27,g18,+
g48,g18,+
g66,g18,+
g69,g18,+
g76,g18,+
g84,g18,+
g86,g18,-
g89,g18,+
g96,g18,+
g14,g19,+
g17,g19,-
g23,g19,+
g39,g19,+
g41,g19,+
g43,g19,+
g50,g19,+
g54,g19,+
g57,g19,+
g73,g19,+
g75,g19,-
g81,g19,+
g90,g19,+
g91,g19,+
g7,g20,+
g8,g20,+
g32,g20,+
g37,g20,+
g52,g20,-
g53,g20,+
g54,g20,+
g77,g20,+
g12,g21,+
g28,g21,+
g31,g21,+
g32,g21,+
g40,g21,+
g56,g21,+
g72,g21,+
g74,g21,+
g75,g21,+
g86,g21,+
g98,g21,+
g10,g22,+
g19,g22,+
g31,g22,+
g37,g22,+
g45,g22,+
g49,g22,-
g50,g22,+
g74,g22,+
g83,g22,+
g100,g22,+
g3,g23,+
g8,g23,+
g22,g23,+
g24,g23,+
g30,g23,-
g39,g23,+
g40,g23,-
g41,g23,+
g42,g23,+
g61,g23,+
g75,g23,+
g76,g23,+
g80,g23,+
g81,g23,+
g84,g23,+
g87,g23,+
g3,g24,+
g6,g24,+
g14,g24,+
g21,g24,+
g45,g24,+
g52,g24,+
g75,g24,+
g100,g24,+
g5,g25,+
g11,g25,+
g21,g25,-
g32,g25,+
g33,g25,+
g40,g25,+
g48,g25,+
g88,g25,-
g93,g25,-
g94,g25,+
g2,g26,-
g4,g26,+
g20,g26,+
g41,g26,-
g53,g26,+
g66,g26,+
g67,g26,+
g80,g26,+
g94,g26,+
g8,g27,+
g16,g27,+
g18,g27,+
g19,g27,-
g36,g27,+
g40,g27,+
g42,g27,+
g60,g27,+
g72,g27,+
g73,g27,+
g95,g27,+
g12,g28,+
g20,g28,+
g45,g28,-
g57,g28,+
g58,g28,+
g70,g28,+
g84,g28,+
g96,g28,+
g97,g28,+
g3,g29,+
g6,g29,+
g7,g29,+
g24,g29,+
g32,g29,+
g34,g29,-
g40,g29,+
g47,g29,+
g56,g29,+
g79,g29,+
g81,g29,+
g98,g29,+
g5,g30,-
g6,g30,+
g25,g30,+
g26,g30,+
g32,g30,+
g36,g30,+
g52,g30,+
g59,g30,+
g66,g30,+
g79,g30,+
g86,g30,+
g93,g30,+
g1,g31,+
g18,g31,+
g43,g31,+
g66,g31,+
g70,g31,+
g73,g31,+
g92,g31,+
g12,g32,-
g30,g32,+
g40,g32,+
g46,g32,+
g47,g32,+
g51,g32,+
g55,g32,+
g77,g32,+
g88,g32,+
g94,g32,+
g6,g33,+
g7,g33,+
g25,g33,+
g30,g33,+
g44,g33,+
g54,g33,+
g58,g33,+
g62,g33,+
g68,g33,+
g78,g33,+
g89,g33,+
g93,g33,+
g8,g34,+
g18,g34,+
g20,g34,+
g38,g34,+
g67,g34,+
g5,g35,+
g12,g35,+
g15,g35,+
g17,g35,+
g25,g35,+
g28,g35,+
g37,g35,+
g67,g35,+
g2,g36,+
g7,g36,+
g11,g36,-
g12,g36,+
g30,g36,+
g34,g36,+
g38,g36,+
g49,g36,+
g57,g36,+
g69,g36,+
g72,g36,+
g73,g36,+
g11,g37,+
g19,g37,+
g34,g37,+
g35,g37,+
g36,g37,-
g40,g37,+
g49,g37,+
g71,g37,+
g73,g37,+
g12,g38,+
g26,g38,+
g27,g38,+
g29,g38,+
g42,g38,+
g53,g38,+
g4,g39,+
g9,g39,+
g17,g39,+
g34,g39,+
g37,g39,+
g48,g39,+
g85,g39,+
g86,g39,+
g92,g39,+
g15,g40,+
g28,g40,+
g56,g40,+
g60,g40,+
g74,g40,+
g80,g40,+
g4,g41,+
g5,g41,+
g21,g41,+
g56,g41,+
g64,g41,+
g70,g41,+
g78,g41,+
g89,g41,+
g1,g42,+
g2,g42,+
g9,g42,+
g19,g42,+
g27,g42,+
g34,g42,+
g38,g42,+
g44,g42,+
g46,g42,+
g62,g42,+
g74,g42,+
g85,g42,+
g92,g42,+
g93,g42,+
g10,g43,+
g20,g43,-
g32,g43,+
g42,g43,+
g56,g43,+
g68,g43,+
g71,g43,+
g76,g43,+
g81,g43,+
g2,g44,+
g3,g44,+
g13,g44,-
g17,g44,+
g22,g44,+
g33,g44,+
g37,g44,-
g41,g44,+
g81,g44,+
g94,g44,+
g95,g44,+
g24,g45,-
g29,g45,+
g37,g45,+
g40,g45,+
g49,g45,+
g72,g45,+
g87,g45,+
g96,g45,+
g17,g46,-
g23,g46,+
g43,g46,+
g54,g46,+
g69,g46,+
g90,g46,+
g100,g46,+
g3,g47,+
g16,g47,+
g22,g47,+
g31,g47,+
g33,g47,+
g38,g47,-
g39,g47,+
g51,g47,+
g61,g47,+
g64,g47,+
g69,g47,+
g84,g47,+
g85,g47,+
g88,g47,+
g8,g48,+
g10,g48,+
g22,g48,+
g55,g48,+
g58,g48,+
g83,g48,-
g95,g48,+
g24,g49,+
g29,g49,+
g74,g49,+
g79,g49,+
g90,g49,+
g2,g50,+
g26,g50,+
g33,g50,-
g39,g50,+
g47,g50,-
g52,g50,+
g63,g50,+
g74,g50,+
g75,g50,+
g99,g50,+
g6,g51,+
g7,g51,+
g10,g51,+
g14,g51,+
g28,g51,+
g42,g51,+
g44,g51,+
g64,g51,+
g66,g51,+
g76,g51,+
g7,g52,+
g12,g52,+
g27,g52,+
g29,g52,+
g54,g52,-
g55,g52,+
g75,g52,+
g84,g52,+
g11,g53,+
g12,g53,+
g33,g53,+
g42,g53,+
g58,g53,+
g65,g53,+
g70,g53,+
g93,g53,+
g94,g53,+
g24,g54,+
g26,g54,+
g30,g54,+
g47,g54,+
g49,g54,+
g51,g54,+
g67,g54,+
g72,g54,+
g79,g54,+
g95,g54,+
g99,g54,+
g2,g55,+
g22,g55,+
g26,g55,+
g45,g55,+
g61,g55,+
g62,g55,+
g75,g55,+
g88,g55,+
g90,g55,+
g93,g55,+
g96,g55,+
g98,g55,+
g4,g56,+
g5,g56,+
g6,g56,-
g33,g56,+
g54,g56,+
g68,g56,+
g93,g56,+
g8,g57,+
g12,g57,+
g18,g57,+
g24,g57,+
g30,g57,+
g56,g57,+
g60,g57,+
g80,g57,-
g81,g57,+
g87,g57,+
g91,g57,+
g98,g57,+
g6,g58,+
g7,g58,+
g12,g58,+
g13,g58,+
g57,g58,+
g71,g58,+
g3,g59,+
g4,g59,+
g12,g59,+
g13,g59,+
g22,g59,+
g54,g59,+
g57,g59,+
g60,g59,+
g87,g59,+
g93,g59,-
g98,g59,+
g1,g60,+
g11,g60,+
g41,g60,+
g44,g60,+
g64,g60,+
g70,g60,+
g78,g60,+
g85,g60,+
g90,g60,+
g16,g61,+
g23,g61,+
g27,g61,+
g42,g61,+
g54,g61,+
g58,g61,+
g63,g61,+
g66,g61,+
g67,g61,-
g95,g61,+
g99,g61,+
g1,g62,+
g19,g62,+
g34,g62,+
g39,g62,+
g42,g62,+
g44,g62,+
g47,g62,+
g59,g62,+
g65,g62,+
g67,g62,+
g81,g62,+
g86,g62,+
g90,g62,+
g94,g62,+
g97,g62,+
g6,g63,+
g14,g63,+
g42,g63,-
g47,g63,+
g51,g63,+
g99,g63,+
g13,g64,+
g14,g64,+
g24,g64,+
g66,g64,+
g68,g64,+
g69,g64,+
g73,g64,+
g88,g64,+
g95,g64,+
g96,g64,+
g6,g65,+
g29,g65,+
g34,g65,+
g36,g65,+
g64,g65,+
g68,g65,+
g82,g65,+
g86,g65,+
g98,g65,+
g5,g66,+
g15,g66,+
g19,g66,+
g21,g66,+
g33,g66,+
g42,g66,+
g52,g66,+
g69,g66,+
g81,g66,+
g95,g66,+
g3,g67,+
g29,g67,+
g31,g67,+
g33,g67,-
g44,g67,+
g76,g67,+
g77,g67,+
g84,g67,+
g87,g67,+
g91,g67,+
g94,g67,+
g1,g68,-
g13,g68,+
g24,g68,+
g28,g68,+
g29,g68,+
g32,g68,+
g55,g68,+
g56,g68,+
g74,g68,+
g77,g68,+
g78,g68,+
g88,g68,+
g95,g68,+
g98,g68,+
g11,g69,+
g19,g69,+
g23,g69,+
g47,g69,-
g53,g69,+
g59,g69,+
g80,g69,+
g84,g69,+
g90,g69,+
g1,g70,+
g4,g70,+
g9,g70,+
g19,g70,+
g22,g70,+
g25,g70,+
g39,g70,-
g40,g70,+
g69,g70,+
g74,g70,+
g91,g70,+
g92,g70,+
g99,g70,+
g5,g71,+
g9,g71,+
g18,g71,+
g22,g71,+
g27,g71,-
g29,g71,+
g33,g71,+
g45,g71,+
g48,g71,+
g54,g71,+
g58,g71,+
g66,g71,+
g69,g71,+
g1,g72,+
g11,g72,+
g13,g72,+
g15,g72,+
g17,g72,+
g18,g72,+
g20,g72,+
g29,g72,-
g48,g72,+
g51,g72,+
g52,g72,+
g56,g72,+
g90,g72,+
g100,g72,+
g28,g73,+
g31,g73,+
g49,g73,+
g65,g73,+
g66,g73,-
g84,g73,+
g88,g73,+
g89,g73,-
g90,g73,+
g19,g74,-
g28,g74,+
g46,g74,+
g48,g74,+
g51,g74,-
g54,g74,+
g56,g74,+
g57,g74,+
g82,g74,+
g86,g74,+
g89,g74,+
g24,g75,-
g32,g75,+
g45,g75,+
g49,g75,+
g59,g75,+
g79,g75,-
g88,g75,+
g89,g75,+
g96,g75,+
g9,g76,+
g21,g76,+
g34,g76,+
g50,g76,+
g68,g76,+
g70,g76,-
g84,g76,+
g94,g76,+
g17,g77,+
g29,g77,+
g33,g77,+
g36,g77,+
g46,g77,+
g50,g77,+
g52,g77,+
g53,g77,+
g55,g77,+
g63,g77,+
g92,g77,+
g1,g78,+
g3,g78,+
g9,g78,+
g10,g78,+
g30,g78,+
g38,g78,-
g44,g78,+
g54,g78,+
g62,g78,+
g66,g78,-
g79,g78,+
g82,g78,+
g94,g78,+
g95,g78,+
g23,g79,+
g50,g79,+
g82,g79,-
g85,g79,+
g88,g79,+
g90,g79,+
g91,g79,+
g96,g79,+
g99,g79,+
g15,g80,+
g22,g80,+
g24,g80,+
g25,g80,+
g50,g80,-
g76,g80,+
g77,g80,+
g78,g80,+
g82,g80,+
g85,g80,+
g46,g81,+
g60,g81,-
g64,g81,+
g72,g81,+
g93,g81,+
g9,g82,+
g11,g82,+
g20,g82,+
g28,g82,+
g38,g82,-
g43,g82,+
g49,g82,+
g55,g82,+
g59,g82,+
g72,g82,+
g87,g82,+
g90,g82,+
g7,g83,+
g59,g83,+
g89,g83,+
g90,g83,-
g98,g83,-
g3,g84,+
g5,g84,+
g15,g84,+
g24,g84,+
g55,g84,+
g58,g84,-
g68,g84,+
g81,g84,+
g82,g84,-
g8,g85,+
g11,g85,+
g15,g85,+
g17,g85,+
g32,g85,+
g38,g85,+
g41,g85,+
g74,g85,+
g75,g85,+
g81,g85,+
g11,g86,+
g23,g86,+
g56,g86,+
g72,g86,+
g95,g86,+
g6,g87,-
g17,g87,+
g18,g87,+
g23,g87,+
g25,g87,+
g27,g87,+
g32,g87,+
g35,g87,+
g49,g87,+
g53,g87,+
g54,g87,+
g56,g87,+
g62,g87,+
g71,g87,+
g77,g87,+
g78,g87,+
g88,g87,+
g16,g88,+
g20,g88,+
g29,g88,+
g36,g88,+
g57,g88,+
g63,g88,+
g66,g88,+
g68,g88,-
g77,g88,+
g5,g89,+
g12,g89,-
g15,g89,+
g22,g89,+
g37,g89,+
g44,g89,+
g47,g89,+
g69,g89,+
g71,g89,-
g79,g89,+
g84,g89,-
g85,g89,+
g86,g89,+
g96,g89,+
g98,g89,+
g11,g90,+
g17,g90,+
g26,g90,-
g42,g90,+
g60,g90,+
g64,g90,+
g76,g90,+
g83,g90,+
g97,g90,+
g1,g91,+
g4,g91,+
g16,g91,+
g20,g91,+
g22,g91,+
g25,g91,+
g42,g91,+
g64,g91,+
g66,g91,+
g71,g91,+
g76,g91,+
g77,g91,+
g83,g91,+
g96,g91,+
g98,g91,+
g6,g92,+
g7,g92,+
g30,g92,+
g36,g92,+
g45,g92,+
g47,g92,+
g58,g92,+
g67,g92,-
g74,g92,+
g93,g92,+
g100,g92,+
g7,g93,+
g8,g93,+
g10,g93,+
g42,g93,+
g61,g93,-
g68,g93,+
g74,g93,+
g86,g93,-
g10,g94,+
g15,g94,+
g38,g94,+
g59,g94,-
g61,g94,+
g64,g94,+
g3,g95,+
g28,g95,+
g29,g95,+
g42,g95,-
g48,g95,+
g61,g95,+
g67,g95,-
g74,g95,+
g77,g95,+
g85,g95,+
g87,g95,+
g98,g95,+
g99,g95,+
g4,g96,+
g23,g96,-
g26,g96,+
g50,g96,+
g57,g96,+
g60,g96,+
g63,g96,+
g69,g96,+
g70,g96,+
g93,g96,+
g95,g96,+
g2,g97,+
g4,g97,+
g29,g97,+
g33,g97,-
g43,g97,+
g51,g97,+
g54,g97,+
g78,g97,+
g90,g97,+
g5,g98,-
g14,g98,+
g56,g98,+
g59,g98,+
g75,g98,+
g82,g98,+
g83,g98,+
g9,g99,+
g17,g99,+
g38,g99,-
g40,g99,+
g45,g99,+
g46,g99,+
g59,g99,+
g72,g99,+
g27,g100,+
g29,g100,+
g54,g100,+
g59,g100,+
g60,g100,+
g98,g100,+
