Gene1,Gene2,Type
g82,g20,+
g3,g21,+
g9,g21,+
g26,g21,+
g49,g21,-
g64,g21,+
g96,g21,-
g1,g22,-
g15,g22,+
g25,g22,+
g28,g22,+
g31,g22,+
g32,g22,+
g36,g22,+
g60,g22,+
g67,g22,+
g77,g22,+
g18,g23,+
g29,g23,+
g30,g23,+
g38,g23,+
g46,g23,+
g67,g23,+
g69,g23,+
g77,g23,+
g78,g23,+
g79,g23,+
g89,g23,+
g90,g23,+
g7,g24,+
g15,g24,+
g21,g24,+
g27,g24,+
g33,g24,+
g44,g24,+
g47,g24,+
g63,g24,+
g74,g24,+
g86,g24,+
g7,g25,+
g24,g25,+
g42,g25,+
g43,g25,+
g51,g25,+
g56,g25,+
g91,g25,+
g98,g25,+
g9,g26,+
g16,g26,+
g17,g26,+
g33,g26,-
g39,g26,+
g45,g26,+
g55,g26,-
g76,g26,+
g77,g26,+
g8,g27,-
g34,g27,-
g46,g27,+
g49,g27,+
g52,g27,+
g53,g27,+
g64,g27,+
g74,g27,+
g96,g27,+
g100,g27,+
g2,g28,+
g4,g28,+
g9,g28,+
g16,g28,+
g27,g28,+
g68,g28,+
g72,g28,+
g85,g28,-
g93,g28,+
g2,g29,+
g16,g29,+
g31,g29,+
g35,g29,+
g38,g29,+
g43,g29,+
g53,g29,+
g60,g29,+
g69,g29,+
g81,g29,+
g94,g29,+
g95,g29,+
g11,g30,+
g20,g30,+
g21,g30,+
g32,g30,+
g43,g30,+
g48,g30,+
g60,g30,+
g72,g30,+
g74,g30,+
g76,g30,+
g92,g30,+
g7,g31,+
g36,g31,+
g46,g31,+
g48,g31,+
g49,g31,+
g56,g31,+
g62,g31,+
g78,g31,+
g2,g32,+
g33,g32,+
g36,g32,+
g69,g32,+
g87,g32,+
g90,g32,+
g11,g33,+
g22,g33,+
g41,g33,+
g43,g33,+
g51,g33,+
g53,g33,+
g56,g33,+
g64,g33,+
g70,g33,+
g80,g33,+
g86,g33,+
g90,g33,+
g3,g34,+
g6,g34,+
g18,g34,+
g35,g34,-
g38,g34,+
g59,g34,+
g73,g34,+
g80,g34,+
g95,g34,+
g99,g34,+
g38,g35,+
g39,g35,+
g45,g35,+
g82,g35,+
g94,g35,+
g99,g35,+
g100,g35,-
g3,g36,-
g26,g36,-
g29,g36,+
g40,g36,+
g75,g36,+
g81,g36,+
g89,g36,+
g40,g37,+
g43,g37,+
g45,g37,+
g58,g37,+
g59,g37,+
g62,g37,+
g78,g37,+
g87,g37,+
g25,g38,+
g30,g38,-
g50,g38,+
g51,g38,+
g55,g38,+
g60,g38,+
g94,g38,-
g97,g38,+
g27,g39,+
g35,g39,+
g36,g39,+
g52,g39,+
g74,g39,+
g76,g39,+
g84,g39,+
g89,g39,+
g90,g39,+
g97,g39,+
g13,g40,+
g14,g40,+
g27,g40,+
g45,g40,+
g53,g40,+
g59,g40,+
g70,g40,+
g91,g40,+
g2,g41,-
g32,g41,+
g64,g41,+
g88,g41,+
g2,g42,-
g34,g42,+
g36,g42,+
g38,g42,-
g47,g42,+
g64,g42,+
g68,g42,+
g77,g42,+
g83,g42,+
g91,g42,+
g96,g42,+
g99,g42,+
g23,g43,+
g33,g43,+
g50,g43,-
g57,g43,+
g58,g43,+
g71,g43,+
g73,g43,-
g95,g43,+
g17,g44,+
g30,g44,-
g53,g44,+
g74,g44,+
g94,g44,-
g2,g45,+
g8,g45,-
g28,g45,+
g54,g45,+
g60,g45,+
g65,g45,+
g66,g45,+
g69,g45,-
g81,g45,+
g84,g45,+
g12,g46,+
g29,g46,+
g31,g46,+
g44,g46,+
g51,g46,+
g52,g46,+
g63,g46,+
g64,g46,+
g66,g46,+
g69,g46,+
g74,g46,+
g77,g46,+
g87,g46,+
g93,g46,+
g94,g46,+
g20,g47,+
g25,g47,+
g29,g47,+
g41,g47,+
g43,g47,+
g46,g47,+
g65,g47,+
g76,g47,+
g83,g47,+
g84,g47,-
g10,g48,+
g24,g48,+
g41,g48,+
g58,g48,+
g67,g48,+
g70,g48,+
g74,g48,-
g84,g48,+
g85,g48,+
g5,g49,+
g6,g49,+
g8,g49,+
g59,g49,+
g63,g49,+
g85,g49,+
g96,g49,+
g18,g50,+
g23,g50,+
g26,g50,+
g84,g50,+
g1,g51,+
g3,g51,+
g17,g51,+
g20,g51,+
g29,g51,+
g35,g51,+
g39,g51,+
g42,g51,+
g44,g51,+
g46,g51,+
g68,g51,+
g71,g51,+
g76,g51,+
g77,g51,+
g80,g51,+
g85,g51,+
g3,g52,+
g25,g52,+
g29,g52,+
g40,g52,-
g45,g52,+
g62,g52,-
g69,g52,+
g76,g52,+
g77,g52,+
g4,g53,+
g6,g53,+
g15,g53,+
g23,g53,+
g25,g53,+
g36,g53,-
g38,g53,+
g50,g53,+
g73,g53,+
g88,g53,+
g95,g53,-
g9,g54,+
g23,g54,+
g27,g54,+
g28,g54,+
g37,g54,+
g46,g54,+
g53,g54,+
g66,g54,-
g94,g54,+
g7,g55,+
g12,g55,+
g17,g55,+
g28,g55,+
g37,g55,+
g46,g55,+
g53,g55,+
g58,g55,-
g72,g55,+
g78,g55,+
g86,g55,+
g88,g55,+
g11,g56,+
g23,g56,+
g30,g56,+
g34,g56,+
g39,g56,+
g49,g56,-
g50,g56,+
g61,g56,+
g65,g56,+
g67,g56,-
g72,g56,+
g95,g56,+
g14,g57,+
g17,g57,+
g22,g57,+
g23,g57,+
g24,g57,+
g41,g57,+
g64,g57,+
g83,g57,-
g89,g57,+
g95,g57,+
g99,g57,+
g2,g58,+
g5,g58,+
g25,g58,+
g37,g58,-
g48,g58,+
g51,g58,-
g62,g58,+
g66,g58,-
g73,g58,+
g80,g58,+
g84,g58,+
g85,g58,+
g86,g58,+
g87,g58,+
g91,g58,+
g100,g58,+
g2,g59,+
g5,g59,+
g24,g59,+
g38,g59,+
g42,g59,+
g48,g59,+
g80,g59,+
g93,g59,+
g94,g59,+
g1,g60,+
g25,g60,+
g27,g60,+
g33,g60,+
g40,g60,+
g42,g60,-
g45,g60,+
g46,g60,+
g58,g60,+
g62,g60,+
g80,g60,+
g83,g60,+
g94,g60,+
g2,g61,+
g20,g61,+
g30,g61,-
g57,g61,-
g86,g61,+
g1,g62,+
g8,g62,+
g20,g62,+
g24,g62,+
g26,g62,+
g65,g62,+
g68,g62,+
g80,g62,+
g82,g62,+
g86,g62,+
g51,g63,+
g55,g63,+
g71,g63,+
g74,g63,+
g75,g63,+
g77,g63,+
g84,g63,+
g4,g64,+
g21,g64,+
g30,g64,+
g53,g64,+
g71,g64,-
g74,g64,+
g82,g64,+
g84,g64,-
g93,g64,-
g97,g64,+
g6,g65,+
g10,g65,+
g12,g65,+
g20,g65,+
g21,g65,+
g23,g65,-
g42,g65,+
g45,g65,+
g48,g65,+
g55,g65,+
g70,g65,+
g77,g65,-
g86,g65,+
g91,g65,+
g2,g66,+
g10,g66,+
g12,g66,+
g34,g66,+
g39,g66,+
g40,g66,+
g49,g66,+
g83,g66,+
g86,g66,+
g98,g66,+
g3,g67,+
g4,g67,+
g12,g67,-
g15,g67,+
g20,g67,+
g22,g67,-
g43,g67,+
g73,g67,+
g76,g67,+
g79,g67,-
g80,g67,-
g12,g68,-
g18,g68,+
g24,g68,+
g32,g68,+
g33,g68,+
g44,g68,+
g81,g68,+
g90,g68,-
g91,g68,+
g1,g69,+
g15,g69,+
g21,g69,+
g33,g69,+
g35,g69,+
g39,g69,+
g70,g69,+
g90,g69,+
g95,g69,+
g6,g70,+
g12,g70,+
g16,g70,+
g44,g70,+
g52,g70,+
g55,g70,+
g78,g70,+
g81,g70,+
g82,g70,-
g23,g71,+
g26,g71,+
g55,g71,+
g58,g71,+
g69,g71,+
g82,g71,+
g93,g71,+
g96,g71,+
g99,g71,+
g3,g72,+
g6,g72,+
g13,g72,+
g15,g72,+
g16,g72,+
g34,g72,+
g38,g72,+
g46,g72,+
g59,g72,+
g66,g72,+
g67,g72,+
g74,g72,+
g85,g72,+
g3,g73,+
g10,g73,+
g20,g73,+
g21,g73,+
g30,g73,+
g36,g73,+
g52,g73,+
g53,g73,+
g57,g73,+
g58,g73,+
g63,g73,+
g64,g73,+
g65,g73,+
g84,g73,+
g91,g73,+
g3,g74,+
g5,g74,+
g11,g74,+
g65,g74,+
g96,g74,+
g16,g75,+
g22,g75,+
g30,g75,+
g43,g75,+
g49,g75,+
g54,g75,+
g59,g75,+
g63,g75,-
g78,g75,-
g83,g75,+
g14,g76,+
g19,g76,+
g25,g76,+
g34,g76,+
g70,g76,+
g81,g76,+
g91,g76,+
g8,g77,+
g27,g77,+
g31,g77,-
g32,g77,+
g48,g77,+
g55,g77,+
g65,g77,+
g66,g77,-
g78,g77,+
g88,g77,+
g99,g77,+
g1,g78,+
g7,g78,+
g8,g78,-
g20,g78,+
g23,g78,+
g26,g78,+
g40,g78,+
g62,g78,+
g79,g78,+
g81,g78,-
g82,g78,+
g87,g78,+
g90,g78,+
g95,g78,-
g99,g78,+
g6,g79,-
g13,g79,+
g16,g79,+
g29,g79,+
g35,g79,+
g40,g79,+
g47,g79,+
g54,g79,+
g58,g79,+
g84,g79,+
g5,g80,-
g8,g80,-
g38,g80,+
g56,g80,+
g83,g80,+
g84,g80,+
g29,g81,+
g33,g81,+
g39,g81,+
g53,g81,+
g60,g81,+
g69,g81,+
g71,g81,+
g82,g81,+
g83,g81,+
g88,g81,+
g96,g81,+
g2,g82,-
g3,g82,+
g19,g82,+
g20,g82,-
g21,g82,+
g26,g82,+
g28,g82,+
g41,g82,+
g55,g82,-
g57,g82,+
g60,g82,+
g74,g82,-
g79,g82,+
g10,g83,+
g20,g83,+
g27,g83,-
g31,g83,+
g40,g83,-
g44,g83,+
g97,g83,+
g4,g84,+
g10,g84,+
g12,g84,-
g16,g84,+
g21,g84,+
g24,g84,+
g36,g84,-
g38,g84,+
g44,g84,+
g47,g84,+
g60,g84,+
g66,g84,+
g69,g84,+
g76,g84,+
g83,g84,+
g85,g84,+
g92,g84,+
g95,g84,+
g6,g85,+
g34,g85,+
g49,g85,+
g50,g85,+
g53,g85,+
g57,g85,-
g59,g85,+
g60,g85,+
g62,g85,+
g69,g85,+
g70,g85,+
g77,g85,+
g91,g85,+
g1,g86,+
g22,g86,+
g26,g86,+
g36,g86,+
g37,g86,+
g39,g86,+
g40,g86,+
g49,g86,+
g57,g86,+
g78,g86,+
g90,g86,+
g98,g86,+
g3,g87,+
g43,g87,+
g52,g87,+
g54,g87,+
g59,g87,-
g76,g87,+
g89,g87,-
g96,g87,+
g98,g87,+
g6,g88,+
g9,g88,+
g14,g88,+
g23,g88,+
g58,g88,+
g72,g88,+
g73,g88,+
g78,g88,+
g82,g88,+
g84,g88,+
g94,g88,+
g4,g89,+
g25,g89,+
g38,g89,+
g43,g89,+
g59,g89,+
g61,g89,+
g93,g89,+
g95,g89,+
g97,g89,+
g20,g90,+
g27,g90,+
g32,g90,+
g36,g90,+
g40,g90,+
g67,g90,-
g70,g90,+
g72,g90,+
g84,g90,-
g7,g91,+
g13,g91,+
g49,g91,+
g85,g91,+
g99,g91,+
g9,g92,+
g17,g92,+
g27,g92,+
g38,g92,+
g41,g92,+
g42,g92,+
g47,g92,+
g62,g92,+
g73,g92,+
g74,g92,+
g77,g92,+
g82,g92,+
g21,g93,+
g44,g93,+
g53,g93,+
g61,g93,+
g69,g93,+
g72,g93,+
g88,g93,+
g89,g93,-
g91,g93,+
g96,g93,+
g6,g94,+
g44,g94,+
g48,g94,+
g51,g94,+
g61,g94,+
g71,g94,+
g83,g94,+
g95,g94,+
g98,g94,+
g25,g95,+
g39,g95,-
g50,g95,+
g52,g95,+
g63,g95,+
g65,g95,+
g83,g95,+
g85,g95,+
g99,g95,+
g10,g96,+
g13,g96,+
g24,g96,-
g34,g96,-
g40,g96,+
g46,g96,+
g57,g96,+
g58,g96,+
g61,g96,-
g63,g96,+
g71,g96,+
g82,g96,+
g86,g96,+
g1,g97,+
g11,g97,+
g19,g97,+
g31,g97,+
g35,g97,+
g43,g97,+
g52,g97,+
g62,g97,+
g64,g97,+
g10,g98,+
g16,g98,+
g19,g98,+
g35,g98,+
g36,g98,+
g42,g98,+
g49,g98,+
g51,g98,+
g62,g98,+
g64,g98,+
g70,g98,-
g73,g98,+
g75,g98,+
g88,g98,+
g10,g99,-
g20,g99,-
g21,g99,+
g24,g99,+
g43,g99,+
g62,g99,+
g72,g99,+
g88,g99,+
g94,g99,+
g8,g100,+
g56,g100,+
g57,g100,+
g60,g100,+
g88,g100,+
g89,g100,+
g92,g100,+
