Gene1,Gene2,Type
g86,g81,+
g90,g81,+
g35,g82,+
g40,g82,+
g54,g82,+
g75,g82,-
g3,g83,+
g19,g83,+
g26,g83,+
g33,g83,-
g52,g83,+
g60,g83,+
g62,g83,+
g77,g83,+
g84,g83,+
g87,g83,+
g89,g83,-
g96,g83,+
g99,g83,+
g14,g84,-
g26,g84,+
g38,g84,+
g45,g84,+
g67,g84,+
g72,g84,+
g73,g84,+
g77,g84,+
g88,g84,+
g89,g84,+
g3,g85,+
g11,g85,+
g13,g85,+
g21,g85,+
g23,g85,+
g31,g85,+
g44,g85,+
g48,g85,+
g60,g85,+
g61,g85,+
g63,g85,+
g64,g85,+
g66,g85,+
g69,g85,-
g76,g85,-
g11,g86,+
g13,g86,+
g22,g86,+
g23,g86,+
g26,g86,-
g36,g86,+
g42,g86,+
g47,g86,+
g1,g87,+
g32,g87,+
g42,g87,+
g48,g87,+
g52,g87,+
g84,g87,+
g86,g87,+
g9,g88,+
g33,g88,+
g46,g88,+
g77,g88,+
g92,g88,+
g100,g88,+
g4,g89,+
g29,g89,+
g35,g89,+
g46,g89,+
g95,g89,+
g97,g89,-
g9,g90,+
g12,g90,+
g29,g90,-
g33,g90,+
g59,g90,+
g68,g90,+
g83,g90,+
g93,g90,+
g97,g90,+
g6,g91,+
g11,g91,+
g14,g91,+
g19,g91,+
g56,g91,+
g57,g91,+
g58,g91,+
g59,g91,+
g63,g91,+
g72,g91,+
g75,g91,-
g77,g91,+
g93,g91,+
g95,g91,+
g100,g91,+
g11,g92,-
g16,g92,+
g32,g92,+
g41,g92,+
g43,g92,+
g50,g92,+
g59,g92,+
g65,g92,-
g66,g92,+
g67,g92,+
g85,g92,+
g91,g92,+
g93,g92,+
g4,g93,+
g13,g93,+
g14,g93,+
g20,g93,+
g29,g93,+
g68,g93,-
g82,g93,+
g83,g93,+
g98,g93,+
g7,g94,+
g17,g94,+
g19,g94,+
g32,g94,+
g40,g94,+
g64,g94,+
g84,g94,+
g96,g94,+
g99,g94,+
g7,g95,+
g15,g95,+
g47,g95,+
g48,g95,+
g56,g95,+
g73,g95,+
g86,g95,+
g24,g96,+
g28,g96,+
g46,g96,+
g56,g96,+
g65,g96,+
g69,g96,+
g76,g96,+
g78,g96,+
g84,g96,+
g92,g96,+
g93,g96,+
g94,g96,+
g5,g97,+
g15,g97,+
g19,g97,+
g24,g97,+
g34,g97,+
g36,g97,+
g40,g97,+
g51,g97,+
g54,g97,+
g7,g98,+
g14,g98,+
g32,g98,+
g40,g98,+
g42,g98,+
g43,g98,+
g45,g98,-
g46,g98,+
g61,g98,+
g63,g98,+
g80,g98,+
g88,g98,-
g99,g98,+
g100,g98,-
g2,g99,+
g9,g99,-
g10,g99,+
g22,g99,+
g33,g99,+
g91,g99,+
g96,g99,+
g1,g100,-
g2,g100,+
g8,g100,-
g24,g100,+
g28,g100,+
g40,g100,+
g41,g100,+
g49,g100,+
g51,g100,+
g60,g100,+
g68,g100,+
g74,g100,-
g98,g100,+
