Gene  Rule 
g53    ( g21 or g130 or g290 or g405 or g504 or g645 or g705 or g724 or g815 or g976 or g1030 or g1038 or g1116 or g1123 or g1193 or g1216 or g1250 or g1265 or g1315 or g1351 or g1450 )
g54    ( g145 or g221 or g293 or g321 or g349 or g620 or g637 or g732 or g972 or g1006 or g1069 or g1074 or g1092 or g1125 or g1155 or g1158 or g1185 or g1254 or g1414 )
g55    ( g53 or g164 or g217 or g276 or g297 or g383 or g399 or g535 or g544 or g614 or g945 or g974 or g1029 or g1095 or g1163 or g1185 or g1326 or g1343 or g1393 or g1485 )
g56    ( g253 or g324 or g484 or g533 or g548 or g556 or g561 or g620 or g658 or g751 or g793 or g888 or g1061 or g1207 or g1250 or g1311 or g1438 or g1488 or g1489 )
g57    ( g188 or g217 or g240 or g282 or g502 or g884 or g952 or g1003 or g1006 or g1119 or g1120 or g1298 or g1428 or g1454 or g1494 )
g58    ( g674 or g790 or g888 or g978 or g1001 or g1061 or g1126 or g1158 or g1274 or g1293 or g1294 or g1370 or g1467 )
g59    ( g108 or g298 or g349 or g374 or g521 or g679 or g1186 or g1237 or g1414 or g1449 or g1451 or g1476 )
g60    ( g22 or g42 or g171 or g260 or g493 or g556 or g751 or g762 or g767 or g850 or g1003 or g1169 or g1364 or g1423 or g1494 )
g61    ( g21 or g296 or g356 or g464 or g743 or g863 or g968 or g1074 or g1246 or g1360 )
g62    ( g21 or g241 or g344 or g474 or g514 or g590 or g606 or g807 or g925 or g1013 or g1217 or g1321 or g1494 )
g63    ( g20 or g55 or g123 or g344 or g521 or g530 or g562 or g850 or g998 or g1074 or g1121 or g1216 or g1312 or g1398 or g1483 )
g64    ( g137 or g186 or g370 or g614 or g615 or g764 or g776 or g779 or g809 or g974 or g1020 or g1035 or g1108 )
g65    ( g19 or g50 or g97 or g180 or g226 or g458 or g531 or g545 or g641 or g705 or g731 or g850 or g879 or g1244 or g1294 or g1349 or g1354 or g1361 )
g66    ( g22 or g162 or g176 or g181 or g215 or g233 or g302 or g412 or g480 or g513 or g621 or g712 or g961 or g1059 or g1105 or g1244 or g1253 )
g67    ( g90 or g138 or g162 or g232 or g398 or g592 or g678 or g900 or g935 or g1048 or g1116 or g1229 or g1273 or g1325 )
g68    ( g36 or g171 or g365 or g504 or g533 or g588 or g605 or g825 or g834 or g890 or g892 or g900 or g908 or g1156 or g1189 or g1198 or g1360 )
g69    ( g78 or g97 or g118 or g501 or g563 or g917 or g925 or g1142 or g1234 or g1239 or g1280 or g1432 or g1433 or g1478 )
g70    ( g59 or g111 or g322 or g376 or g467 or g625 or g1191 or g1236 or g1289 or g1343 or g1387 )
g71    ( g111 or g241 or g365 or g447 or g579 or g967 or g1097 or g1345 or g1348 or g1486 )
g72    ( g32 or g45 or g50 or g130 or g192 or g201 or g324 or g398 or g673 or g688 or g707 or g797 or g843 or g1038 or g1117 or g1143 or g1160 or g1228 or g1320 or g1450 )
g73    ( g3 or g20 or g56 or g293 or g370 or g401 or g413 or g422 or g486 or g672 or g1234 or g1259 )
g74    ( g39 or g189 or g273 or g276 or g475 or g500 or g620 or g708 or g713 or g798 or g1165 or g1202 or g1217 or g1236 or g1380 or g1414 or g1433 or g1454 )
g75    ( g14 or g223 or g399 or g422 or g545 or g605 or g702 or g797 or g820 or g917 or g974 or g1183 or g1229 or g1451 or g1488 or g1489 or g1491 )
g76    ( g97 or g166 or g296 or g377 or g486 or g687 or g783 or g805 or g815 or g1143 or g1379 )
g77    ( g525 or g573 or g917 or g986 or g1016 or g1046 or g1134 or g1309 or g1336 or g1434 )
g78    ( g66 or g166 or g413 or g414 or g501 or g528 or g945 or g1108 or g1235 or g1350 or g1375 or g1389 or g1430 or g1486 )
g79    ( g19 or g186 or g261 or g310 or g564 or g592 or g608 or g702 or g836 or g841 or g880 or g1306 or g1388 or g1460 )
g80    ( g60 or g273 or g321 or g432 or g499 or g544 or g641 or g770 or g915 or g1039 or g1063 or g1085 or g1135 or g1157 or g1196 or g1250 or g1345 or g1478 or g1489 )
g81    ( g115 or g167 or g246 or g252 or g327 or g396 or g544 or g844 or g935 or g1045 or g1137 or g1198 or g1306 or g1314 or g1404 or g1409 or g1432 or g1459 )
g82    ( g246 or g292 or g334 or g345 or g461 or g524 or g528 or g840 or g880 or g1132 or g1163 or g1224 )
g83    ( g71 or g145 or g171 or g192 or g208 or g250 or g424 or g580 or g606 or g694 or g699 or g713 or g880 or g997 or g1193 or g1410 or g1456 or g1460 or g1488 )
g84    ( g4 or g34 or g178 or g184 or g213 or g232 or g240 or g320 or g332 or g502 or g536 or g554 or g642 or g903 or g1086 or g1186 or g1343 or g1476 or g1488 )
g85    ( g18 or g53 or g435 or g465 or g473 or g561 or g588 or g823 or g853 or g868 or g896 or g915 or g930 or g1044 or g1062 or g1158 or g1217 )
g86    ( g54 or g320 or g378 or g424 or g445 or g484 or g519 or g621 or g687 or g797 or g809 or g921 or g997 or g1016 or g1031 or g1080 or g1246 or g1456 or g1478 )
g87    ( g174 or g201 or g251 or g580 or g686 or g710 or g1075 or g1190 or g1347 or g1450 or g1489 )
g88    ( g36 or g61 or g144 or g189 or g373 or g419 or g501 or g505 or g664 or g666 or g687 or g702 or g773 or g774 or g978 or g1090 or g1165 or g1188 or g1315 or g1494 )
g89    ( g59 or g68 or g90 or g101 or g213 or g219 or g261 or g447 or g533 or g535 or g621 or g656 or g722 or g760 or g860 or g1050 or g1180 or g1498 )
g90    ( g5 or g78 or g89 or g167 or g171 or g296 or g400 or g650 or g809 or g817 or g1143 or g1144 or g1234 or g1304 or g1314 or g1423 or g1466 or g1485 )
g91    ( g246 or g278 or g318 or g722 or g860 or g896 or g946 or g958 or g1039 or g1051 or g1105 or g1160 or g1213 or g1416 or g1422 or g1428 or g1491 )
g92    ( g13 or g174 or g280 or g365 or g400 or g729 or g744 or g930 or g1109 or g1188 or g1276 or g1388 or g1409 or g1459 )
g93    ( g49 or g56 or g115 or g298 or g349 or g645 or g692 or g693 or g743 or g751 or g760 or g779 or g909 or g1296 or g1315 or g1409 )
g94    ( g8 or g82 or g162 or g326 or g568 or g833 or g1001 or g1156 )
g95    ( g16 or g223 or g334 or g608 or g660 or g699 or g759 or g958 or g1027 or g1037 or g1235 or g1336 or g1467 )
g96    ( g217 or g273 or g292 or g426 or g504 or g734 or g748 or g911 or g992 or g1116 or g1208 or g1229 or g1428 or g1478 )
g97    ( g189 or g241 or g629 or g645 or g833 or g1074 or g1183 or g1239 or g1253 or g1284 or g1350 or g1421 or g1428 or g1432 or g1445 or g1459 )
g98    ( g17 or g20 or g45 or g153 or g252 or g414 or g438 or g688 or g774 or g952 or g1006 or g1086 or g1196 or g1276 or g1437 )
g99    ( g90 or g101 or g280 or g292 or g435 or g639 or g879 or g1029 or g1062 or g1135 or g1158 or g1196 or g1207 or g1406 or g1419 or g1438 or g1440 or g1489 )
g100    ( g123 or g376 or g436 or g514 or g608 or g991 or g1363 or g1403 or g1437 )
g101    ( g157 or g338 or g501 or g740 or g774 or g807 or g824 or g831 or g946 or g1098 or g1276 )
g102    ( g75 or g345 or g521 or g534 or g535 or g544 or g698 or g750 or g758 or g767 or g774 or g824 or g867 or g1072 or g1186 or g1191 or g1289 or g1350 or g1403 or g1441 or g1469 )
g103    ( g73 or g162 or g178 or g374 or g414 or g544 or g592 or g921 or g944 or g1065 or g1155 or g1254 or g1469 )
g104    ( g114 or g138 or g164 or g174 or g177 or g272 or g399 or g512 or g839 or g850 or g1014 or g1191 or g1205 or g1379 or g1380 or g1452 )
g105    ( g327 or g412 or g480 or g603 or g708 or g716 or g758 or g1018 or g1037 or g1063 or g1199 or g1202 or g1314 )
g106    ( g41 or g422 or g588 or g672 or g742 or g831 or g876 or g1096 or g1177 or g1298 or g1331 or g1350 or g1454 or g1489 )
g107    ( g35 or g201 or g215 or g242 or g317 or g318 or g527 or g816 or g916 or g1005 or g1438 )
g108    ( g201 or g219 or g310 or g334 or g510 or g594 or g688 or g893 or g930 or g1121 or g1125 or g1244 )
g109    ( g112 or g157 or g422 or g580 or g726 or g915 or g971 or g1300 or g1325 or g1393 or g1418 or g1430 or g1491 )
g110    ( g137 or g260 or g268 or g592 or g836 or g997 or g1045 or g1144 or g1319 or g1358 or g1369 or g1370 or g1375 or g1414 or g1428 or g1440 or g1486 )
g111    ( g41 or g143 or g203 or g232 or g400 or g438 or g486 or g579 or g734 or g855 or g928 or g935 or g941 or g1239 or g1319 or g1423 )
g112    ( g111 or g414 or g444 or g554 or g574 or g707 or g811 or g923 or g1312 )
g113    ( g112 or g171 or g276 or g314 or g337 or g474 or g545 or g634 or g651 or g716 or g809 or g846 or g896 or g902 or g1046 or g1075 or g1199 or g1298 or g1336 )
g114    ( g35 or g93 or g104 or g193 or g215 or g296 or g321 or g338 or g455 or g561 or g638 or g688 or g863 or g921 or g991 or g1347 or g1404 or g1478 or g1498 )
g115    ( g59 or g405 or g731 or g820 or g1213 or g1233 or g1316 or g1437 or g1491 )
g116    ( g36 or g60 or g74 or g143 or g198 or g278 or g578 or g751 or g805 or g1098 or g1109 or g1176 or g1185 or g1186 or g1240 or g1321 or g1375 or g1496 )
g117    ( g71 or g104 or g337 or g387 or g776 or g831 or g1050 or g1116 or g1196 or g1232 or g1403 )
g118    ( g177 or g356 or g390 or g428 or g531 or g590 or g686 or g712 or g760 or g868 or g906 or g908 or g925 or g1341 )
g119    ( g82 or g166 or g193 or g272 or g401 or g616 or g872 or g934 or g1050 or g1105 or g1156 or g1215 or g1236 or g1350 or g1434 )
g120    ( g226 or g260 or g370 or g377 or g447 or g556 or g618 or g656 or g692 or g718 or g846 or g849 or g870 or g923 or g992 or g1059 or g1144 or g1294 or g1337 or g1419 or g1494 or g1496 )
g121    ( g9 or g253 or g475 or g614 or g722 or g841 or g944 or g1013 or g1205 or g1306 or g1315 )
g122    ( g99 or g344 or g505 or g543 or g762 or g1008 or g1080 or g1160 or g1423 or g1460 )
g123    ( g32 or g253 or g322 or g383 or g607 or g614 or g670 or g732 or g762 or g774 or g855 or g860 or g868 or g888 or g1061 or g1108 or g1201 or g1349 or g1396 or g1403 or g1413 or g1419 )
g124    ( g74 or g314 or g374 or g408 or g439 or g509 or g686 or g750 or g767 or g945 or g1157 or g1256 or g1284 or g1419 )
g125    ( g472 or g568 or g573 or g634 or g637 or g666 or g707 or g893 or g1143 or g1361 or g1389 or g1451 )
g126    ( g298 or g505 or g634 or g678 or g857 or g876 or g1109 or g1120 or g1196 or g1263 or g1274 or g1337 or g1356 or g1385 or g1485 or g1486 )
g127    ( g16 or g382 or g396 or g464 or g499 or g524 or g563 or g670 or g742 or g834 or g860 or g1061 or g1070 or g1466 or g1489 )
g128    ( g51 or g73 or g260 or g276 or g361 or g444 or g1062 or g1085 or g1309 or g1364 or g1404 )
g129    ( g71 or g457 or g545 or g603 or g643 or g734 or g860 or g872 or g885 or g967 or g1072 or g1151 or g1155 or g1198 or g1250 or g1354 or g1445 or g1486 or g1496 )
g130    ( g19 or g278 or g314 or g499 or g514 or g524 or g637 or g658 or g779 or g1228 or g1233 or g1234 or g1240 or g1302 or g1361 or g1379 or g1396 or g1441 or g1454 )
g131    ( g5 or g61 or g111 or g153 or g160 or g365 or g463 or g634 or g749 or g916 or g1005 or g1008 or g1085 or g1093 or g1205 or g1488 )
g132    ( g20 or g70 or g89 or g276 or g387 or g594 or g701 or g792 or g890 or g1005 or g1084 or g1155 or g1400 or g1418 or g1440 )
g133    ( g14 or g157 or g320 or g382 or g531 or g840 or g881 or g908 or g1109 or g1178 or g1320 or g1321 )
g134    ( g34 or g366 or g470 or g474 or g551 or g625 or g711 or g759 or g857 or g867 or g1134 or g1198 or g1304 or g1356 or g1393 or g1489 )
g135    ( g68 or g115 or g527 or g578 or g603 or g639 or g725 or g1044 or g1045 or g1071 or g1075 or g1086 or g1132 or g1229 or g1320 or g1364 or g1488 )
g136    ( g18 or g189 or g252 or g306 or g387 or g420 or g427 or g470 or g579 or g692 or g998 or g1018 or g1027 or g1037 or g1155 or g1158 or g1232 or g1294 or g1388 or g1389 )
g137    ( g34 or g181 or g415 or g428 or g435 or g770 or g892 or g903 or g1198 or g1215 or g1321 or g1347 or g1440 )
g138    ( g8 or g16 or g397 or g431 or g536 or g771 or g816 or g968 or g974 or g1350 or g1467 )
g139    ( g56 or g93 or g235 or g356 or g375 or g419 or g457 or g467 or g544 or g561 or g589 or g793 or g853 or g1075 or g1092 or g1246 or g1316 or g1349 or g1462 )
g140    ( g93 or g153 or g563 or g607 or g664 or g734 or g1042 or g1202 or g1310 or g1331 )
g141    ( g13 or g49 or g51 or g101 or g320 or g376 or g509 or g787 or g817 or g887 or g974 or g1042 or g1148 or g1175 or g1375 )
g142    ( g89 or g134 or g235 or g397 or g457 or g475 or g612 or g687 or g770 or g824 or g915 or g945 or g974 or g1030 or g1119 or g1274 or g1293 or g1375 or g1410 )
g143    ( g42 or g356 or g385 or g401 or g574 or g845 or g885 or g925 or g1132 or g1190 or g1414 or g1450 )
g144    ( g8 or g181 or g260 or g493 or g588 or g603 or g958 or g992 or g1042 or g1273 or g1298 or g1496 )
g145    ( g41 or g78 or g82 or g217 or g253 or g262 or g428 or g452 or g573 or g852 or g1111 or g1237 or g1300 or g1351 or g1422 or g1437 )
g146    ( g272 or g512 or g614 or g638 or g764 or g855 or g935 or g998 or g1341 )
g147    ( g109 or g520 or g626 or g763 or g792 or g928 or g944 or g1177 or g1239 or g1304 )
g148    ( g89 or g298 or g465 or g743 or g876 or g1142 or g1354 or g1420 )
g149    ( g68 or g174 or g474 or g501 or g505 or g508 or g525 or g573 or g672 or g732 or g763 or g790 or g792 or g846 or g880 or g921 or g998 or g1005 or g1039 or g1045 or g1126 or g1148 or g1300 or g1360 )
g150    ( g31 or g109 or g134 or g588 or g594 or g639 or g641 or g763 or g792 or g944 or g1217 or g1233 or g1253 or g1449 or g1451 )
g151    ( g208 or g359 or g391 or g524 or g556 or g759 or g760 or g804 or g974 or g998 or g1014 or g1018 or g1063 or g1093 or g1369 or g1380 )
g152    ( g25 or g141 or g521 or g526 or g603 or g625 or g783 or g788 or g815 or g856 or g949 or g976 or g1136 or g1178 or g1229 or g1235 or g1349 or g1409 or g1452 )
g153    ( g35 or g61 or g168 or g198 or g370 or g678 or g679 or g776 or g974 or g1072 or g1314 or g1476 )
g154    ( g13 or g36 or g99 or g130 or g334 or g419 or g909 or g945 or g1048 or g1120 or g1318 or g1333 or g1341 or g1358 or g1398 or g1483 )
g155    ( g21 or g22 or g112 or g193 or g215 or g278 or g424 or g444 or g678 or g688 or g692 or g1093 or g1169 or g1312 or g1432 )
g156    ( g19 or g89 or g359 or g382 or g459 or g505 or g639 or g807 or g1207 or g1244 or g1350 or g1351 or g1469 )
g157    ( g54 or g166 or g189 or g219 or g280 or g334 or g615 or g657 or g811 or g815 or g921 or g951 or g1046 or g1273 or g1422 or g1462 or g1498 )
g158    ( g744 or g798 or g872 or g927 or g991 or g1097 or g1105 or g1156 or g1201 or g1232 or g1267 or g1314 or g1389 )
g159    ( g58 or g198 or g253 or g314 or g420 or g674 or g805 or g998 or g1144 or g1148 or g1276 or g1341 or g1349 or g1360 or g1389 )
g160    ( g458 or g474 or g564 or g605 or g903 or g1098 or g1236 or g1282 or g1315 or g1389 or g1498 )
g161    ( g89 or g141 or g251 or g324 or g338 or g370 or g391 or g431 or g499 or g532 or g561 or g679 or g855 or g1008 or g1065 or g1165 or g1309 or g1437 or g1460 or g1491 )
g162    ( g41 or g123 or g127 or g292 or g296 or g317 or g359 or g431 or g504 or g541 or g916 or g976 or g1006 or g1121 or g1250 or g1302 or g1383 or g1421 or g1441 )
g163    ( g124 or g168 or g226 or g413 or g465 or g742 or g1142 or g1236 or g1296 or g1321 or g1433 or g1489 )
g164    ( g8 or g41 or g141 or g173 or g322 or g332 or g344 or g595 or g643 or g898 or g916 or g1039 or g1096 or g1099 or g1296 or g1410 or g1414 )
g165    ( g8 or g60 or g157 or g223 or g240 or g253 or g292 or g528 or g564 or g850 or g1121 or g1132 or g1208 or g1267 or g1293 or g1331 or g1438 or g1476 or g1486 )
g166    ( g46 or g213 or g223 or g324 or g535 or g562 or g658 or g693 or g701 or g1018 or g1037 or g1237 or g1253 or g1331 or g1406 )
g167    ( g144 or g160 or g405 or g455 or g556 or g840 or g944 or g960 or g1072 or g1398 )
g168    ( g181 or g203 or g223 or g493 or g500 or g510 or g556 or g574 or g606 or g645 or g687 or g688 or g699 or g749 or g781 or g927 or g965 or g1044 or g1099 or g1117 or g1135 or g1333 )
g169    ( g25 or g50 or g127 or g138 or g174 or g501 or g607 or g744 or g787 or g919 or g1163 or g1294 or g1445 or g1486 )
g170    ( g17 or g257 or g327 or g534 or g592 or g634 or g976 or g986 or g1003 or g1035 or g1142 or g1175 or g1316 or g1341 or g1391 )
g171    ( g22 or g544 or g748 or g764 or g804 or g893 or g991 or g1039 or g1120 or g1135 or g1155 or g1273 or g1347 or g1420 or g1428 or g1452 )
g172    ( g61 or g115 or g139 or g302 or g579 or g853 or g998 or g1046 or g1050 or g1190 or g1236 or g1240 or g1276 or g1321 or g1450 or g1478 )
g173    ( g31 or g238 or g379 or g461 or g500 or g608 or g629 or g638 or g671 or g797 or g879 or g892 or g1234 or g1466 or g1469 or g1476 or g1483 )
g174    ( g18 or g118 or g170 or g645 or g903 or g1143 or g1363 or g1428 or g1433 )
g175    ( g49 or g192 or g465 or g535 or g595 or g658 or g671 or g686 or g815 or g1018 or g1020 or g1284 or g1305 or g1421 or g1450 or g1467 )
g176    ( g115 or g365 or g467 or g487 or g536 or g1190 or g1202 or g1208 or g1284 or g1389 or g1409 )
g177    ( g4 or g78 or g99 or g242 or g452 or g463 or g513 or g635 or g793 or g945 or g1213 or g1356 or g1432 or g1452 or g1456 or g1460 )
g178    ( g101 or g362 or g427 or g435 or g790 or g817 or g1010 or g1070 or g1072 or g1157 or g1191 or g1224 or g1276 or g1294 or g1305 or g1369 or g1380 )
g179    ( g32 or g96 or g197 or g262 or g487 or g521 or g554 or g555 or g607 or g626 or g1135 or g1191 or g1207 or g1320 or g1400 or g1466 or g1486 or g1496 )
g180    ( g296 or g297 or g726 or g759 or g1045 or g1132 or g1191 or g1273 or g1282 or g1449 )
g181    ( g18 or g90 or g175 or g379 or g693 or g712 or g805 or g840 or g876 or g1003 or g1189 or g1225 or g1326 or g1347 or g1438 or g1488 )
g182    ( g15 or g50 or g137 or g373 or g408 or g426 or g946 or g1016 or g1093 or g1416 )
g183    ( g66 or g194 or g326 or g414 or g731 or g774 or g892 or g1013 or g1105 or g1244 or g1343 or g1345 or g1398 or g1400 )
g184    ( g56 or g197 or g218 or g415 or g431 or g716 or g762 or g804 or g945 or g974 or g1104 )
g185    ( g31 or g130 or g166 or g219 or g241 or g439 or g561 or g596 or g639 or g742 or g817 or g845 or g888 or g1216 or g1236 or g1409 or g1422 )
g186    ( g3 or g288 or g426 or g551 or g562 or g674 or g790 or g1111 or g1364 )
g187    ( g674 or g693 or g776 or g852 or g1224 or g1259 or g1312 or g1462 or g1496 )
g188    ( g4 or g37 or g198 or g349 or g860 or g971 or g1092 or g1116 or g1142 or g1189 or g1314 or g1414 )
g189    ( g139 or g502 or g548 or g556 or g679 or g860 or g921 or g1001 or g1099 or g1108 or g1298 or g1356 )
g190    ( g22 or g115 or g210 or g233 or g240 or g261 or g464 or g472 or g637 or g744 or g774 or g949 or g960 or g1050 or g1097 )
g191    ( g5 or g45 or g513 or g548 or g629 or g658 or g702 or g743 or g876 or g952 or g961 or g1059 or g1125 or g1157 or g1177 or g1178 )
g192    ( g44 or g141 or g338 or g548 or g934 or g941 or g946 or g1084 or g1363 )
g193    ( g181 or g218 or g326 or g458 or g493 or g520 or g752 or g919 or g975 or g1008 or g1031 or g1085 or g1136 or g1175 or g1280 or g1404 or g1450 or g1476 )
g194    ( g8 or g41 or g89 or g130 or g400 or g470 or g561 or g578 or g666 or g852 or g1006 or g1010 or g1059 or g1180 or g1185 or g1224 or g1336 or g1383 or g1445 or g1459 or g1478 )
g195    ( g49 or g181 or g699 or g763 or g1005 or g1061 or g1237 or g1358 or g1476 )
g196    ( g262 or g362 or g641 or g716 or g805 or g843 or g1276 or g1293 or g1356 or g1421 )
g197    ( g44 or g66 or g139 or g219 or g226 or g297 or g465 or g697 or g1235 or g1244 or g1351 or g1398 or g1452 )
g198    ( g280 or g457 or g1095 or g1125 or g1169 or g1273 or g1488 )
g199    ( g104 or g153 or g197 or g288 or g339 or g435 or g457 or g465 or g486 or g773 or g820 or g841 or g1048 or g1142 or g1224 or g1310 or g1320 or g1364 )
